TRACK,LABEL,METHOD,CURVE
82,feature.Area.managed,,2
82,feature.Area.og1.SBPS_PL_L,,91
82,feature.Area.og1.total,,91
82,feature.Area.og2.SBPS_PL_L,,1
82,feature.Area.og2.total,,1
82,feature.Yield.managed.Total,,120
83,feature.Area.og1.MS_PL_H,,96
83,feature.Area.og1.total,,96
83,feature.Area.og2.MS_PL_H,,1
83,feature.Area.og2.total,,1
83,feature.Area.unmanaged,,2
83,feature.Yield.unmanaged.Total,,122
84,feature.Area.og1.IDF_PLI_M,,76
84,feature.Area.og1.total,,76
84,feature.Area.og2.IDF_PLI_M,,1
84,feature.Area.og2.total,,1
84,feature.Area.unmanaged,,2
84,feature.Yield.unmanaged.Total,,123
85,feature.Area.managed,,2
85,feature.Area.og1.IDF_PLI_M,,76
85,feature.Area.og1.total,,76
85,feature.Area.og2.IDF_PLI_M,,1
85,feature.Area.og2.total,,1
85,feature.Yield.managed.Total,,124
86,feature.Area.og1.IDF_PL_M,,18
86,feature.Area.og1.total,,18
86,feature.Area.og2.IDF_PL_M,,1
86,feature.Area.og2.total,,1
86,feature.Area.unmanaged,,2
86,feature.Yield.unmanaged.Total,,126
87,feature.Area.og1.SBPS_PL_M,,0
87,feature.Area.og1.total,,0
87,feature.Area.og2.SBPS_PL_M,,1
87,feature.Area.og2.total,,1
87,feature.Area.unmanaged,,2
87,feature.Yield.unmanaged.Total,,127
88,feature.Area.og1.IDF_FD_H,,31
88,feature.Area.og1.total,,31
88,feature.Area.og2.IDF_FD_H,,1
88,feature.Area.og2.total,,1
88,feature.Area.unmanaged,,2
88,feature.Yield.unmanaged.Total,,43
89,feature.Area.og1.IDF_PL_H,,13
89,feature.Area.og1.total,,13
89,feature.Area.og2.IDF_PL_H,,1
89,feature.Area.og2.total,,1
89,feature.Area.unmanaged,,2
89,feature.Yield.unmanaged.Total,,128
90,feature.Area.og1.IDF_FD_M,,0
90,feature.Area.og1.total,,0
90,feature.Area.og2.IDF_FD_M,,1
90,feature.Area.og2.total,,1
90,feature.Area.unmanaged,,2
90,feature.Yield.unmanaged.Total,,129
91,feature.Area.og1.IDF_PL_M,,18
91,feature.Area.og1.total,,18
91,feature.Area.og2.IDF_PL_M,,1
91,feature.Area.og2.total,,1
91,feature.Area.unmanaged,,2
91,feature.Yield.unmanaged.Total,,130
92,feature.Area.og1.IDF_FDI_M,,0
92,feature.Area.og1.total,,0
92,feature.Area.og2.IDF_FDI_M,,1
92,feature.Area.og2.total,,1
92,feature.Area.unmanaged,,2
92,feature.Yield.unmanaged.Total,,131
93,feature.Area.og1.IDF_PLI_H,,132
93,feature.Area.og1.total,,132
93,feature.Area.og2.IDF_PLI_H,,8
93,feature.Area.og2.total,,8
93,feature.Area.unmanaged,,9
93,feature.Yield.unmanaged.Total,,133
94,feature.Area.og1.SBPS_PLI_H,,23
94,feature.Area.og1.total,,23
94,feature.Area.og2.SBPS_PLI_H,,1
94,feature.Area.og2.total,,1
94,feature.Area.unmanaged,,2
94,feature.Yield.unmanaged.Total,,134
95,feature.Area.og1.SBPS_SX_H,,23
95,feature.Area.og1.total,,23
95,feature.Area.og2.SBPS_SX_H,,1
95,feature.Area.og2.total,,1
95,feature.Area.unmanaged,,2
95,feature.Yield.unmanaged.Total,,135
96,feature.Area.og1.IDF_PL_H,,13
96,feature.Area.og1.total,,13
96,feature.Area.og2.IDF_PL_H,,1
96,feature.Area.og2.total,,1
96,feature.Area.unmanaged,,2
96,feature.Yield.unmanaged.Total,,136
97,feature.Area.og1.SBPS_PL_H,,137
97,feature.Area.og1.total,,137
97,feature.Area.og2.SBPS_PL_H,,8
97,feature.Area.og2.total,,8
97,feature.Area.unmanaged,,9
97,feature.Yield.unmanaged.Total,,138
98,feature.Area.og1.IDF_FDI_L,,18
98,feature.Area.og1.total,,18
98,feature.Area.og2.IDF_FDI_L,,1
98,feature.Area.og2.total,,1
98,feature.Area.unmanaged,,2
98,feature.Yield.unmanaged.Total,,139
99,feature.Area.og1.IDF_FDI_H,,11
99,feature.Area.og1.total,,11
99,feature.Area.og2.IDF_FDI_H,,1
99,feature.Area.og2.total,,1
99,feature.Area.unmanaged,,2
99,feature.Yield.unmanaged.Total,,140
100,feature.Area.og1.SBPS_PL_H,,52
100,feature.Area.og1.total,,52
100,feature.Area.og2.SBPS_PL_H,,1
100,feature.Area.og2.total,,1
100,feature.Area.unmanaged,,2
100,feature.Yield.unmanaged.Total,,141
101,feature.Area.og1.IDF_FDI_M,,0
